id,name,brand_name,price,Origin,category,original_price,discount,discount_rate
180378151,Bình giữ nhiệt LocknLock Metro Drive LHC4277S 650ml - Kèm ống hút và cọ rửa,LocknLock,289000,Trung Quốc,Bình/ Ly giữ nhiệt,579000,290000,50
147265074,"Vỉ 2 VPin AA , Pin AAA DURACELL 1,5V Siêu Bền - Hàng chính hãng",DURACELL,30000,Trung Quốc,Pin và dụng cụ sạc pin,30000,0,0
7699066,"Chảo Nhôm Sâu Lòng Chống Dính Lock&Lock Baum Marble 1 Tay Cầm, Nắp Thủy Tinh LBU1305 (30cm)",LocknLock,438000,Trung Quốc,Nồi và chảo,879000,441000,50
275599590,Chảo Inox đa lớp Sunhouse IN20M6,Sunhouse,213000,Việt Nam,Nồi và chảo,352000,139000,39
207941719,Bộ cây lau nhà Lock&Lock Mini Spin Mop & 4 bông lau sàn ETM498MITS2 - Màu xanh mint,LocknLock,494000,Trung Quốc,Dụng cụ lau nhà,934000,440000,47
70820849,Pin CR2032 Energizer 3V vỉ 5 viên,Energizer,64600,Indonesia,Pin và dụng cụ sạc pin,64600,0,0
195852183,Bình giữ nhiệt bằng thép không gỉ LocknLock Jumbo Tumbler LHC4300NVY 900ML,LocknLock,382000,Trung Quốc,Bình/ Ly giữ nhiệt,730000,348000,48
275358388,Bình nhựa đựng nước LocknLock HAP814 - Dung tích 1.5L - Màu ngẫu nhiên,LocknLock,39000,Trung Quốc,,77000,38000,49
274823196,Ổ Cắm Điện Mở Rộng Xoay 180 Độ,NAVIVU,19900,Việt Nam,"Ổ cắm, ổn áp, biến áp",19900,0,0
73125530,Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CLNVY 930ml - Màu Navy,LocknLock,200000,Trung Quốc,Dụng cụ chứa đựng thực phẩm,362000,162000,45
52238368,Chiếu điều hòa cao cấp Ánh Sao - Sợi mây tổng hợp + Tặng kèm túi thơm thảo dược - giao mẫu ngẫu nhiên,A,120000,Việt Nam,Phụ kiện phòng ngủ,160000,40000,25
54097692,Pin Energizer 12V A23 BP1,Energizer,37700,Singapore,Pin và dụng cụ sạc pin,37700,0,0
275465197,Khăn Tắm Hải Cẩu BHN3 50x100cm,Mollis,64000,"Anh, Việt Nam",Khăn,64000,0,0
134360863,"Vỉ 6 Viên Pin AA , Pin AAA Energizer Max 1,5V Alkaline - Hàng chính hãng",Energizer,90000,Singapore,Pin và dụng cụ sạc pin,90000,0,0
275479886,"Xi Măng Dẻo Vá Tường, Bịt Kín Mọi Lỗ Hổng",NAVIVU,20000,Trung Quốc,Dụng cụ sửa chữa nhà cửa,20000,0,0
197852361,Ghế quầy bar gỗ không lưng tựa cao 75 cm chân cố định Ghế studio chụp ảnh đẹp CB Nemo-75W tại HCM,Capta,1380000,Việt Nam,Nội thất phòng ăn,1380000,0,0
274183101,Hộp bảo quản thực phẩm Smart Keep Fresh LocknLock - Không chứa BPA,LocknLock,59400,Hàn Quốc,Dụng cụ chứa đựng thực phẩm,119000,59600,50
57867023,Cây Lau Nhà Xoay 360 Độ Sunhouse Ks-Mo350I,Sunhouse,125000,Việt Nam,Dụng cụ lau nhà,200000,75000,38
210458939,"Đĩa Giấy Bạc Lót Nồi Chiên Không Dầu, Khay Bạc Nướng Thực Phẩm (Nhiều Cỡ)",NAVIVU,25000,Việt Nam,Phụ kiện nhà bếp,25000,0,0
892141,Pin Max 8 + 4 Viên Energizer E92 BP8+4 AAA,Energizer,144000,Singapore,Pin và dụng cụ sạc pin,180000,36000,20
99994000,Bình giữ nhiệt có ống hút Lock&amp;Lock Bucket Tumbler with Straw LHC4268NVY - Màu,LocknLock,247000,Trung Quốc,Bình/ Ly giữ nhiệt,473000,226000,48
271121025,"Bàn học sinh gấp gọn thông minh có khe máy tính bảng, khay để ly - chân bàn sơn tĩnh điện",PEAFLO,135000,Việt Nam,"Nội thất phòng học, làm việc",155000,20000,13
120552065,Bình giữ nhiệt inox 304 Elmich EL-8013OL dung tích 480ml,Elmich,157000,Trung Quốc,Bình/ Ly giữ nhiệt,389000,232000,60
3480627,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,LocknLock,489000,Trung Quốc,Dụng cụ lau nhà,924000,435000,47
275220446,"Khăn trải bàn PAULEE 856B nhựa PVC dẻo, không thấm nước",PAULEE,198000,Đài Loan,Phụ kiện phòng ăn,220000,22000,10
189568098,Bình giữ nhiệt inox 304 Elmich,Elmich,234650,Trung Quốc,Bình/ Ly giữ nhiệt,499000,264350,53
76541901,KHĂN TRẢI BÀN PAULEE 856B - HOA VĂN HỒNG - 150 CM X 264 CM - KHÔNG THẤM NƯỚC,PAULEE,189000,Đài Loan,Phụ kiện phòng ăn,210000,21000,10
197598280,Khăn trải bàn PAULEE WLG-751 hoa văn nhũ vàng (152cm x 228cm),PAULEE,237000,Đài Loan,Phụ kiện phòng ăn,250000,13000,5
197590772,Dứa sấy dẻo 500 gam- nguyên vị 100% tự nhiên - ăn vặt siêu ngon - nông sản sạch,PAULEE,162000,Việt Nam,Phụ kiện phòng ăn,180000,18000,10
101995256,Thanh Xốp Chắn Khe Cửa Đa Năng Thông Minh,PEAFLO,23000,Việt Nam / Trung Quốc,Bảo vệ nhà cửa,45000,22000,49
114204741,Bình giữ nhiệt inox 304 Sunhouse 450ml KS-TU450I,Sunhouse,100000,Việt Nam,Bình/ Ly giữ nhiệt,150000,50000,33
2119169,Bộ Cây Lau Nhà Lock&Lock Squeeze Flat Mop ETM471,LocknLock,496000,Trung Quốc,Dụng cụ lau nhà,979000,483000,49
247298318,"Áo Mưa Một Người Trong Suốt Có Nón Thời Trang, Nhựa EVA Sử Dụng Nhiều Lần",NAVIVU,38000,Trung Quốc,"Áo mưa, ô dù và phụ kiện đi mưa",38000,0,0
173854188,Ổ cắm xoay gấp gọn Điện Quang ĐQ ESK RT,Điện Quang,27700,Việt Nam,"Ổ cắm, ổn áp, biến áp",35129,7429,21
275467611,"Giá Để Giày Dép Kèm Thanh Treo Đồ Chất Liệu Thép Carbon Kiểu Dáng Hiện Đại, Tiện Ích",VANDO,259000,Trung Quốc,,259000,0,0
252134180,"Giường xếp gấp gọn 4 chân đa năng SUMIKA 181, có nệm, 5 cấp độ điều chỉnh",Sumika,960000,Trung Quốc,Nội thất phòng ngủ,1580000,620000,39
276044976,"Giường xếp gấp gọn di động SUMIKA 386A, chiều rộng 90cm, khung thép, có bánh xe di chuyển",Sumika,1810000,Trung Quốc,Nội thất phòng ngủ,2700000,890000,33
72746066,"Giường nệm xếp gọn kiểu dáng Hàn Quốc SUMIKA 339A, chiều rộng 90cm, tải trọng 300kg",Sumika,2440000,Trung Quốc,Nội thất phòng ngủ,3500000,1060000,30
271485839,"Giường xếp gọn cao cấp SUMIKA 339B, chiều rộng 70cm, khung thép, có bánh xe di chuyển",Sumika,2200000,Trung Quốc,Nội thất phòng ngủ,3260000,1060000,33
73314056,Lọ xay tiêu cầm tay nắp viền inox 304 lọ thủy tinh Hobby Home Decor XT mẫu thon cao và mẫu thấp tùy chọn,Hobby Home Decor,56000,Trung Quốc,Phụ kiện nhà bếp,98000,42000,43
272638497,Hộp bảo quản thủy tinh LocknLock BLANC - Hộp chữ nhật,LocknLock,61600,Trung Quốc,Dụng cụ chứa đựng thực phẩm,112000,50400,45
696349,Ổ Cắm Điện 4 Lỗ 3 Chấu 3m Philips SPN1248WB/74 (2500W),Philips,249000,Trung Quốc,"Ổ cắm, ổn áp, biến áp",299000,50000,17
274067031,Ổ cắm điện Philips CHP1130WB - 3m,Philips,82000,Trung Quốc,"Ổ cắm, ổn áp, biến áp",99000,17000,17
274867163,"Đất Trồng Cây Greenhome, Viên Nén 500gr, Đã Qua Xử Lý, Bổ Sung Vi Sinh, Nở Gấp 5 Lần, Trồng Rau Hoa",Greenhome,15900,Việt Nam,"Hoa tươi, Cây cảnh & Hạt giống",30000,14100,47
223727572,"[Chính Hãng]Keo Chống Thấm TAIKO Trong Suốt Silicon 10 Kg -Chống Thấm Gạch Lát Nền,Trần, Tường, Cửa Sổ, Vết Nứt Mái Nhà Triệt Để - Keo sau 72h mới khô hoàn toàn",TAIKOMI,1239767,Việt Nam,"Sơn, dầu mỡ, hóa chất",1458550,218783,15
275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,Elmich,188000,Trung Quốc,Bình/ Ly giữ nhiệt,390000,202000,52
249022286,"Sơn Chống Thấm Đa Năng Gốc Bitum TAIKO BITSUN NO 2 - Keo Sơn Chống Thấm Bể Cá Koi, Sàn Mái Nhà, Móng Nhà, Bể Âm",TAIKOMI,165000,Việt Nam,"Sơn, dầu mỡ, hóa chất",250000,85000,34
270140718,"Thang nhôm rút gọn SUMIKA SKB380 - Chiều cao tối đa 3,8m, chiều cao rút gọn 0.81m, tải trọng 300kg",Sumika,1510000,Trung Quốc,Thang nhôm,2200000,690000,31
273871676,"Thang nhôm ghế gia đình 4 bậc SUMIKA A104, chiều cao 94cm",Sumika,520000,Trung Quốc,,750000,230000,31
201225920,"Màn chụp, mùng chụp đỉnh vuông chân viền cao cấp Một Cửa, có thể gấp gọn, dễ dịch chuyển, mang đi hay cất giữ - Hàng chính hãng (Giao màu viền ngẫu nhiên)",FuNu,272000,Việt Nam,Phụ kiện phòng ngủ,291000,19000,7
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (Shanghai) LHC4160RED  897ml - màu Red,LocknLock,309000,Trung Quốc,Bình/ Ly giữ nhiệt,715000,406000,57
275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,Elmich,188000,Trung Quốc,Bình/ Ly giữ nhiệt,390000,202000,52
275402730,"Bình Gas Bơm Bật Lửa Bluesky 5 Đầu Bơm Dung Tích 150gr/275ml Siêu Tiện Dụng, Bình Bơm Gas Bật Lửa Hàn Quốc",eData,58900,Hàn Quốc,"Bếp nướng, vỉ nướng",58900,0,0
271479108,"Vợt Muỗi 2 Trong 1 Điện Quang ĐQ EMR10 W - Vợt muỗi kiêm đèn bắt muỗi thông minh, tự động, Pin 1200 mAh, Bảo Hành 12 tháng",Điện Quang,159000,Trung Quốc,"Dụng cụ diệt chuột, côn trùng",191614,32614,17
186558014,Combo 10 Móc Dán Tường Treo Đồ Đa Năng Siêu Chịu Lực,NAVIVU,20000,Việt Nam,,20000,0,0
99621372,Bình giữ nhiệt Lock&amp;Lock Belt Bottle LHC4267IVY490ml - Màu,LocknLock,247000,Trung Quốc,Bình/ Ly giữ nhiệt,473000,226000,48
274685975,Dù Gấp Mở Tự Động- Ô Che Mưa Gấp Gọn Mini Che Mưa 12 Nan Nhỏ Gọn Tiện Lợi,Mucar,139000,China / Vietnam,,139000,0,0
274942251,"Bàn học gấp gọn thông minh có khe cắm máy tính bảng, điện thoại - Hàng chính hãng",Nhà của Mẹ,171000,Việt Nam,"Nội thất phòng học, làm việc",180000,9000,5
54484578,Đèn Bàn Học LED USB Di Động Cao Cấp Có Thể Gập Hai Chỗ – 03 Chế Độ Ánh Sáng Vàng Bảo Vệ Mắt Chống Cận eLights - Đèn Cắm Dây,eLights,228000,Trung Quốc,Đèn học và đọc sách,228000,0,0
272913561,"Gel thông tắc sinh học AIKOMI vệ sinh cống, làm sạch đường ống, chậu rửa bát, nhà vệ sinh",Ximo,73500,Trung Quốc,Dụng cụ vệ sinh,75000,1500,2
274770054,Bình giữ nhiệt Metro studio tumbler LocknLock LHC4202BLK - Dung tích 470ml - Quai xách Silicone - Màu đen,LocknLock,354000,Trung Quốc,Bình/ Ly giữ nhiệt,668000,314000,47
192120961,Túi Zip Lụa Nhựa CPE Trong Mờ Có Khóa Kéo Đa Năng,NAVIVU,41000,Trung Quốc,Dụng cụ chứa đựng thực phẩm,41000,0,0
89774434,"Đèn cảm ứng chuyển động, Đèn Led dán tường cảm biến thông minh không dây dán tủ quần áo, cầu thang, phòng ngủ...",OEM,80000,Trung Quốc,,80000,0,0
274690181,"Cây Lau Bàn Bếp Tự Vắt Thông Minh Mini 25cm, Bọt Biển Siêu Thấm Hút Đa Năng, Gập Gọn",PEAFLO,51000,Hàn Quốc / Trung Quốc,Dụng cụ lau nhà,65000,14000,22
275060118,Áo Mưa Trùm Đầu Kiểu Poncho Không Che Đèn Xe,NAVIVU,180000,Trung Quốc,"Áo mưa, ô dù và phụ kiện đi mưa",180000,0,0
174236741,Găng tay cao su tự nhiên Lock&amp;Lock ETM830 (có móc treo),LocknLock,30800,Việt Nam,Dụng cụ vệ sinh,56000,25200,45
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,Sunhouse,268400,Việt Nam,Dụng cụ lau nhà,406000,137600,34
159765477,Đầu vòi tăng áp 3 chế độ có đầu lọc cặn HOBBY Home Decor VSTA3 - vỏ trong suốt - hỗ trợ tăng áp lực 3 chế độ phun ( TẶNG KÈM REN NỐI VÀ ĐẦU LỌC),Hobby Home Decor,109000,Trung Quốc,Phụ kiện nhà bếp,159000,50000,31
189568098,Bình giữ nhiệt inox 304 Elmich,Elmich,213750,Trung Quốc,Bình/ Ly giữ nhiệt,499000,285250,57
187058674,"Ly Thủy Tinh Chịu Nhiệt Đựng Cà Phê Cold Brew, Sinh Tố và Các Loại Thức Uống Lạnh",NAVIVU,129000,Việt Nam,"Bình, ly uống cà phê và phụ kiện",129000,0,0
134515126,Bình giữ nhiệt cho cho trẻ em LocknLock Cozy Kids Straw Tumbler LHC4236PIK 330ml - Màu,LocknLock,253000,Trung Quốc,Bình/ Ly giữ nhiệt,592000,339000,57
273569921,Set 100 Túi Lưới Lọc Rác Bồn Rửa Chén,NAVIVU,14500,Trung Quốc,Dụng cụ vệ sinh,14500,0,0
58804363,Dụng Cụ Băm Rau Củ Quả Lock&amp;Lock Quick Chopper CKS308PIK,LocknLock,89000,Trung Quốc,Phụ kiện nhà bếp,171000,82000,48
51662145,"Keo dán siêu dính X2000 (50g) dán gỗ, sắt, sứ, kim loại đa năng",OEM,49100,Việt Nam,Dụng cụ sửa chữa nhà cửa,49100,0,0
55365176,0.5kg túi zipper chỉ đỏ đựng thực phẩm,Túi ni lông tự phân hủy sinh học GIMEX II,35000,Việt Nam,Dụng cụ chứa đựng thực phẩm,35000,0,0
275350239,"Chổi Quét Nhà Thông Minh Chổi Quét Nhà Xoay 180 Độ, Kèm Hót Rác Gấp Gọn Tiện Lợi - Hàng chính hãng (Giao màu ngẫu nhiên)",Gro-Fa,99000,Trung Quốc,Dụng cụ lau nhà,99000,0,0
45404047,"[ĐẶC BIỆT] Nhang Xanh Trầm Hương Cao Cấp 15 năm -100g - mùi thơm tự nhiên, dịu ngọt của trầm - Nhang Thiền",Nhang Xanh,125000,Việt Nam,,125000,0,0
261810715,Áo mưa cánh dơi vài dù siêu bền (loại dày 1.4m) - Giao màu ngẫu nhiên,PEAFLO,113000,Việt Nam,"Áo mưa, ô dù và phụ kiện đi mưa",135000,22000,16
25036394,Bình Lọc Nước Barrier Nika (2.5l) - Tím,BARRIER,80000,Nga,"Bình lọc, lõi lọc, thiết bị lọc nước",450000,370000,82
174489160,Găng tay thực phẩm phân hủy sinh học Sunhouse KS-PG290M,Sunhouse,17000,Việt Nam,Phụ kiện nhà bếp,21000,4000,19
103797681,"Mền nỉ, chăn nỉ mỏng ấm áp 1m6 x 2m cao cấp A thích hợp dùng đắp văn phòng, điều hòa",A,110000,Việt Nam,"Chăn, mền và phụ kiện",120000,10000,8
274957618,Bình giữ nhiệt Flexi Sunhouse 720 ml Sunhouse KS-TU72,Sunhouse,125000,Trung Quốc,Bình/ Ly giữ nhiệt,180000,55000,31
274541672,Drap Bọc Nệm Đủ Size ( Giao Màu Ngẫu Nhiên ),FUKOJI,59000,Việt Nam,,59000,0,0
127031393,Ca nước giữ nhiệt LocknLock Metro Mug LHC4219NVY 475ml - Màu Navy,LocknLock,266000,Trung Quốc,Bình/ Ly giữ nhiệt,506000,240000,47
3927949,"Bộ sạc Energizer Charger kèm 4 pin Ener AA 2000mAh, tự ngắt sạc (CHVCM4)",Energizer,446000,Trung Quốc,Pin và dụng cụ sạc pin,460000,14000,3
190320291,"Dụng Cụ Làm Vườn Greenhome, D25cm, Cán Gỗ, Lưỡi Thép, Gồm Xẻng Xúc Đất, Cào, Chĩa, Trồng Cây, Làm Cỏ Dễ Dàng",Greenhome,41900,Việt Nam,Dụng cụ làm vườn,70000,28100,40
274371739,Khăn Tắm Du Lịch Siêu Dày Có Thể Dùng Nhiều Lần,NAVIVU,15000,Trung Quốc,Khăn,15000,0,0
